Time,Open,High,Low,Close,Change,%Chg,Volume,"Open Int"
01/18/2023,95.55,95.68,95.55,95.67,0.085,+0.09%,5479,19471
01/17/2023,95.54,95.59,95.5,95.585,0.06,+0.06%,5512,18743
01/13/2023,95.615,95.65,95.525,95.525,-0.095,-0.10%,8009,18700
01/12/2023,95.55,95.665,95.425,95.62,0.055,+0.06%,13265,16139
01/11/2023,95.555,95.58,95.53,95.565,0.025,+0.03%,3886,12696
01/10/2023,95.57,95.57,95.51,95.54,-0.035,-0.04%,2736,13203
01/09/2023,95.495,95.59,95.48,95.575,0.06,+0.06%,5367,13214
01/06/2023,95.33,95.55,95.285,95.515,0.18,+0.19%,15759,17317
01/05/2023,95.455,95.455,95.32,95.335,-0.09,-0.09%,7208,14215
01/04/2023,95.465,95.51,95.425,95.425,-0.005,-0.01%,4757,11569
01/03/2023,95.475,95.515,95.42,95.43,0.01,+0.01%,1778,10712
12/30/2022,95.45,95.45,95.385,95.42,-0.04,-0.04%,1277,10882
12/29/2022,95.495,95.5,95.445,95.46,-0.01,-0.01%,1022,10844
12/28/2022,95.46,95.5,95.455,95.47,0.025,+0.03%,1296,10895
12/27/2022,95.53,95.53,95.42,95.445,-0.1,-0.10%,1349,11028
12/23/2022,95.595,95.61,95.535,95.545,-0.05,-0.05%,1003,10607
12/22/2022,95.655,95.665,95.58,95.595,-0.04,-0.04%,740,11199
12/21/2022,95.585,95.655,95.58,95.635,0.045,+0.05%,792,11190
12/20/2022,95.59,95.6,95.545,95.59,-0.005,-0.01%,958,11352
12/19/2022,95.655,95.655,95.59,95.595,-0.06,-0.06%,950,11198
12/16/2022,95.59,95.685,95.52,95.655,0.07,+0.07%,1332,11092
12/15/2022,95.64,95.67,95.585,95.585,-0.025,-0.03%,2894,10699
12/14/2022,95.65,95.74,95.55,95.61,-0.025,-0.03%,4436,10446
12/13/2022,95.465,95.725,95.45,95.635,0.195,+0.20%,4686,10024
12/12/2022,95.46,95.51,95.42,95.44,-0.055,-0.06%,746,9505
12/09/2022,95.54,95.57,95.47,95.495,-0.02,-0.02%,1281,9317
12/08/2022,95.535,95.55,95.495,95.515,-0.065,-0.07%,1154,9015
12/07/2022,95.485,95.6,95.45,95.58,0.11,+0.12%,1306,9103
12/06/2022,95.42,95.49,95.395,95.47,0.05,+0.05%,871,8776
12/05/2022,95.5,95.515,95.39,95.42,-0.14,-0.15%,1147,8665
12/02/2022,95.62,95.69,95.42,95.56,-0.04,-0.04%,1738,8720
12/01/2022,95.545,95.62,95.485,95.6,0.105,+0.11%,1039,8773
11/30/2022,95.355,95.565,95.285,95.495,0.135,+0.14%,2344,9046
11/29/2022,95.365,95.425,95.345,95.36,-0.01,-0.01%,943,8760
11/28/2022,95.4,95.42,95.36,95.37,-0.005,-0.01%,374,8728
